Codigo_Fornecedor,Nome_Original,Nome_Comercial,Categoria,Subcategoria,Qtd_Estoque,Custo_Unitario,Multiplicador,Preco_Venda,Lucro_Unitario,Margem,Descricao_Simples,Descricao_Completa,Tags,Diferenciais
5414,Mini Orelhas do Coelho - Boyce - Pretty Love,Coelhinho Estimulador Duplo - Edição Luxo,Vibradores,Estimuladores Clitorianos,3,"R$ 12,00","3,0x","R$ 36,00","R$ 24,00","66,7%","Mini vibrador em formato de orelhinhas de coelho com dupla estimulação. Silicone macio, 10 modos de vibração e design ergonômico.","Descubra o prazer duplo com nosso estimulador em formato de orelhinhas de coelho. Feito em silicone premium hipoalergênico, oferece 10 modos de vibração intensos para uma estimulação precisa e prazerosa. Design ergonômico que se adapta perfeitamente ao corpo feminino, ideal para uso solo ou a dois. À prova d'água para momentos de prazer no banho. Recarregável via USB com autonomia de até 90 minutos. Tamanho compacto e discreto para levar na bolsa. Cor: Rosa vibrante.","coelhinho, vibrador, estimulador, clitóris, silicone, recarregável, discreto",10 modos de vibração | Silicone premium | À prova d'água | USB recarregável
6791-RS,Vibrador de Ponto G Multi-Velocidade - Maig - Rosa,Explorador G - Vibrador Curvado Multi-Velocidade (Rosa),Vibradores,Ponto G,1,"R$ 23,38","3,0x","R$ 70,14","R$ 46,76","66,7%",Vibrador curvado especialmente projetado para estimular o ponto G com precisão. Múltiplas velocidades de vibração.,"O Explorador G foi desenvolvido para quem busca descobrir novas sensações. Sua curvatura precisa atinge o ponto G com facilidade, enquanto as múltiplas velocidades de vibração permitem personalizar cada momento. Corpo em silicone macio de alta qualidade, textura suave ao toque e acabamento impecável. Controle intuitivo de velocidades para ir do sussurro ao intenso. Funciona com pilhas (incluídas na primeira compra). Tamanho ideal para iniciantes e experientes. Cor: Rosa elegante.","ponto g, vibrador, curvado, multi-velocidade, silicone, feminino, prazer",Curvatura precisa | Multi-velocidade | Silicone macio | Ideal para iniciantes
6791-RX,Vibrador de Ponto G Multi-Velocidade - Maig - Roxo,Explorador G - Vibrador Curvado Multi-Velocidade (Roxo),Vibradores,Ponto G,1,"R$ 23,38","3,0x","R$ 70,14","R$ 46,76","66,7%",Vibrador curvado especialmente projetado para estimular o ponto G com precisão. Múltiplas velocidades de vibração.,"O Explorador G foi desenvolvido para quem busca descobrir novas sensações. Sua curvatura precisa atinge o ponto G com facilidade, enquanto as múltiplas velocidades de vibração permitem personalizar cada momento. Corpo em silicone macio de alta qualidade, textura suave ao toque e acabamento impecável. Controle intuitivo de velocidades para ir do sussurro ao intenso. Funciona com pilhas (incluídas na primeira compra). Tamanho ideal para iniciantes e experientes. Cor: Roxo misterioso.","ponto g, vibrador, curvado, multi-velocidade, silicone, feminino, prazer",Curvatura precisa | Multi-velocidade | Silicone macio | Ideal para iniciantes
5367-LL,Vibrador Jelly Duplo Motor - 15cm - Pink,Duo Power - Vibrador Jelly Duplo Motor,Vibradores,Dupla Estimulação,1,"R$ 21,60","3,5x","R$ 75,60","R$ 54,00","71,4%",Vibrador jelly com dois motores independentes para estimulação interna e externa simultânea. Textura suave e flexível.,"O Duo Power revoluciona sua experiência com dois motores independentes que trabalham em harmonia. A haste curvada massageia internamente enquanto o prolongador externo cuida da estimulação clitoriana — tudo ao mesmo tempo. Material jelly premium, super flexível e macio ao toque, que se adapta aos contornos do corpo. 15cm de puro prazer com textura realista e veias delicadas. Múltiplas velocidades controladas por botão giratório. Funciona com pilhas. Cor: Pink sedutor.","duplo motor, vibrador, jelly, estimulação dupla, clitóris, interno, feminino",Dois motores independentes | Jelly premium flexível | Estimulação dupla simultânea | 15cm
8250-RS,Vibrador de Pulsação - Billy - Rosa,Pulse Touch - Vibrador de Pulsação Inteligente (Rosa),Vibradores,Pulsação,1,"R$ 25,00","3,5x","R$ 87,50","R$ 62,50","71,4%",Vibrador de pulsação com tecnologia de ondas de prazer. Estimulação profunda e diferenciada do clitóris e ponto G.,"O Pulse Touch traz uma tecnologia revolucionária: ondas de pulsação que penetram mais profundamente que a vibração tradicional. Ideal para quem busca uma experiência completamente nova. O motor de pulsação simula a sucção e a pressão de forma única, criando sensações intensas e inesquecíveis. Design moderno com cabo ergonômico para fácil manuseio. Silicone médico hipoalergênico, seguro para o corpo. À prova d'água para uso no chuveiro. Múltiplos modos de pulsação. Cor: Rosa delicado.","pulsação, vibrador, tecnologia, ondas, clitóris, ponto g, inovador",Tecnologia de pulsação | Ondas profundas | Silicone médico | À prova d'água
8250-RX,Vibrador de Pulsação - Billy - Roxo,Pulse Touch - Vibrador de Pulsação Inteligente (Roxo),Vibradores,Pulsação,1,"R$ 25,00","3,5x","R$ 87,50","R$ 62,50","71,4%",Vibrador de pulsação com tecnologia de ondas de prazer. Estimulação profunda e diferenciada do clitóris e ponto G.,"O Pulse Touch traz uma tecnologia revolucionária: ondas de pulsação que penetram mais profundamente que a vibração tradicional. Ideal para quem busca uma experiência completamente nova. O motor de pulsação simula a sucção e a pressão de forma única, criando sensações intensas e inesquecíveis. Design moderno com cabo ergonômico para fácil manuseio. Silicone médico hipoalergênico, seguro para o corpo. À prova d'água para uso no chuveiro. Múltiplos modos de pulsação. Cor: Roxo profundo.","pulsação, vibrador, tecnologia, ondas, clitóris, ponto g, inovador",Tecnologia de pulsação | Ondas profundas | Silicone médico | À prova d'água
5208-PK,Vibrador Ponto G Duplo Motor - 17cm - Pretty Love - Pink,G-Spot Pro - Vibrador Duplo Motor 17cm,Vibradores,Ponto G Premium,1,"R$ 26,14","3,5x","R$ 91,49","R$ 65,35","71,4%","Vibrador premium com dois motores independentes, 17cm de comprimento, curvatura perfeita para o ponto G e estimulador clitoriano.","O G-Spot Pro é a escolha definitiva para quem não abre mão da qualidade. Com dois motores independentes e 17cm de puro poder, oferece estimulação dupla simultânea: a haste curvada massageia o ponto G com precisão cirúrgica enquanto o estimulador externo cuida do clitóris. 12 modos de vibração combináveis entre os dois motores. Silicone premium de grau médico, totalmente hipoalergênico e livre de ftalatos. Acabamento impecável com textura veludada. Recarregável via USB com indicador LED de bateria. Embalagem premium ideal para presente. Cor: Pink sofisticado.","ponto g, premium, duplo motor, 17cm, silicone médico, recarregável, presente",Dois motores independentes | 12 modos combináveis | 17cm | Silicone médico | USB recarregável
9262-RS,Bullet Baleia - Whale - APP - Rosa,Whale Connect - Bullet Inteligente c/ App (Rosa),Vibradores,App/Bluetooth,3,"R$ 27,00","3,0x","R$ 81,00","R$ 54,00","66,7%",Bullet vibratório em formato de baleia controlado por aplicativo. Ideal para brincadeiras à distância com o parceiro.,A tecnologia encontra o prazer no Whale Connect. Este bullet em formato de baleia é controlado totalmente pelo seu smartphone via aplicativo gratuito. Perfeito para relacionamentos à distância: seu parceiro pode controlar as vibrações de qualquer lugar do mundo. 10 modos de vibração pré-programados + possibilidade de criar padrões personalizados. Conexão Bluetooth estável e alcance de até 10 metros. Silicone macio e flexível com design anatômico. À prova d'água para diversão no banho. Bateria de longa duração com recarga USB magnética. Cor: Rosa romântico.,"app, bluetooth, bullet, controle remoto, à distância, casal, tecnologia",Controle via APP | Relacionamento à distância | 10 modos + personalizados | Bluetooth 10m
9262-RX,Bullet Baleia - Whale - APP - Roxo,Whale Connect - Bullet Inteligente c/ App (Roxo),Vibradores,App/Bluetooth,3,"R$ 27,00","3,0x","R$ 81,00","R$ 54,00","66,7%",Bullet vibratório em formato de baleia controlado por aplicativo. Ideal para brincadeiras à distância com o parceiro.,A tecnologia encontra o prazer no Whale Connect. Este bullet em formato de baleia é controlado totalmente pelo seu smartphone via aplicativo gratuito. Perfeito para relacionamentos à distância: seu parceiro pode controlar as vibrações de qualquer lugar do mundo. 10 modos de vibração pré-programados + possibilidade de criar padrões personalizados. Conexão Bluetooth estável e alcance de até 10 metros. Silicone macio e flexível com design anatômico. À prova d'água para diversão no banho. Bateria de longa duração com recarga USB magnética. Cor: Roxo tecnológico.,"app, bluetooth, bullet, controle remoto, à distância, casal, tecnologia",Controle via APP | Relacionamento à distância | 10 modos + personalizados | Bluetooth 10m
8430-RS,Vibrador Ponto G e Clitóris c/ Aquecimento - Rosa,Heat Pleasure - Vibrador c/ Aquecimento 42°C (Rosa),Vibradores,Aquecimento,1,"R$ 61,09","3,8x","R$ 232,14","R$ 171,05","73,7%","Vibrador 3 em 1: estimula o ponto G, o clitóris e aquece até 42°C. A sensação de calor intensifica o prazer naturalmente.","O Heat Pleasure é o ápice da inovação em prazer feminino. Este vibrador 3 em 1 combina estimulação do ponto G, massagem clitoriana e aquecimento inteligente até 42°C — a temperatura ideal para aumentar a circulação sanguínea e intensificar as sensações. O calor natural relaxa os músculos e prepara o corpo para um orgasmo mais intenso. Dois motores independentes com 8 modos de vibração cada. Silicone de grau médico, ultra macio e seguro. Aquecimento rápido em 2 minutos. Recarregável via USB com até 120 minutos de autonomia. Display LED intuitivo. Cor: Rosa quente.","aquecimento, 42 graus, ponto g, clitóris, 3 em 1, premium, inovador",Aquecimento 42°C | 3 em 1 (Ponto G + Clitóris + Calor) | 8 modos duplos | Silicone médico
8430-LL,Vibrador Ponto G e Clitóris c/ Aquecimento - Lilás,Heat Pleasure - Vibrador c/ Aquecimento 42°C (Lilás),Vibradores,Aquecimento,1,"R$ 61,09","3,8x","R$ 232,14","R$ 171,05","73,7%","Vibrador 3 em 1: estimula o ponto G, o clitóris e aquece até 42°C. A sensação de calor intensifica o prazer naturalmente.","O Heat Pleasure é o ápice da inovação em prazer feminino. Este vibrador 3 em 1 combina estimulação do ponto G, massagem clitoriana e aquecimento inteligente até 42°C — a temperatura ideal para aumentar a circulação sanguínea e intensificar as sensações. O calor natural relaxa os músculos e prepara o corpo para um orgasmo mais intenso. Dois motores independentes com 8 modos de vibração cada. Silicone de grau médico, ultra macio e seguro. Aquecimento rápido em 2 minutos. Recarregável via USB com até 120 minutos de autonomia. Display LED intuitivo. Cor: Lilás elegante.","aquecimento, 42 graus, ponto g, clitóris, 3 em 1, premium, inovador",Aquecimento 42°C | 3 em 1 (Ponto G + Clitóris + Calor) | 8 modos duplos | Silicone médico
8147-AZ,Vibrador Sucção Clitóris - Quentin - Azul,Suction Pro - Estimulador de Sucção Clitoriana (Azul),Vibradores,Sucção,1,"R$ 49,00","3,8x","R$ 186,20","R$ 137,20","73,7%",Estimulador de sucção clitoriana com tecnologia de ondas de ar. Simula a sensação de sexo oral com intensidade ajustável.,"O Suction Pro revolucionou o mercado com sua tecnologia de ondas de pressão de ar. Ao invés de vibração tradicional, ele cria ondas de sucção que simulam perfeitamente a sensação de sexo oral. 10 níveis de intensidade que vão do toque de pena ao tornado de prazer. Cabeça removível em silicone médico para fácil higienização. Design discreto que parece um difusor de perfumes — ninguém vai desconfiar. Silencioso mesmo nos níveis mais altos. Recarregável via USB com autonomia de 2 horas. À prova d'água. Cor: Azul oceano.","sucção, clitóris, ondas de ar, sexo oral, discreto, silencioso, inovador",Tecnologia ondas de ar | Simula sexo oral | 10 níveis | Design discreto | Silencioso
8147-RS,Vibrador Sucção Clitóris - Quentin - Rosa,Suction Pro - Estimulador de Sucção Clitoriana (Rosa),Vibradores,Sucção,1,"R$ 49,00","3,8x","R$ 186,20","R$ 137,20","73,7%",Estimulador de sucção clitoriana com tecnologia de ondas de ar. Simula a sensação de sexo oral com intensidade ajustável.,"O Suction Pro revolucionou o mercado com sua tecnologia de ondas de pressão de ar. Ao invés de vibração tradicional, ele cria ondas de sucção que simulam perfeitamente a sensação de sexo oral. 10 níveis de intensidade que vão do toque de pena ao tornado de prazer. Cabeça removível em silicone médico para fácil higienização. Design discreto que parece um difusor de perfumes — ninguém vai desconfiar. Silencioso mesmo nos níveis mais altos. Recarregável via USB com autonomia de 2 horas. À prova d'água. Cor: Rosa delicado.","sucção, clitóris, ondas de ar, sexo oral, discreto, silencioso, inovador",Tecnologia ondas de ar | Simula sexo oral | 10 níveis | Design discreto | Silencioso
9192,Pênis Realístico c/ Ventosa - 20.0x3.7cm - Baile,Real Feel Classic - Pênis Realístico c/ Ventosa 20cm,Pênis Realísticos,Com Ventosa,1,"R$ 26,00","3,0x","R$ 78,00","R$ 52,00","66,7%",Pênis realístico com ventosa poderosa para uso em superfícies lisas. Textura realista com veias e glande detalhada.,"O Real Feel Classic oferece a experiência mais próxima do real. Com 20cm de comprimento e 3,7cm de diâmetro, possui textura realista com veias salientes, glande detalhada e escroto macio. A ventosa super poderosa fixa em qualquer superfície lisa (box, parede, chão) para mãos livres. Material TPE premium hipoalergênico, macio ao toque e flexível. Compatível com cintos de penetração. Fácil de limpar com água e sabão neutro. Ideal para iniciantes e experientes. Cor: Pele natural.","pênis, realístico, ventosa, mãos livres, 20cm, TPE, iniciante",Ventosa poderosa | 20cm realista | Mãos livres | TPE premium | Compatível c/ cinto
8216-RS,Pênis Realístico c/ Vibrador à pilha - Rosa,Vibe Real - Pênis Vibratório Realístico (Rosa),Pênis Realísticos,Vibratório,1,"R$ 18,06","3,0x","R$ 54,18","R$ 36,12","66,7%",Pênis realístico com vibrador interno de múltiplas velocidades. Combina a sensação realista com a potência da vibração.,"O Vibe Real une o melhor dos dois mundos: a aparência e textura realista de um pênis com a potência de um vibrador. Com 19cm de comprimento e 4,3cm de diâmetro, oferece preenchimento satisfatório. O vibrador interno possui múltiplas velocidades controladas por botão giratório na base. Veias salientes e glande detalhada aumentam a estimulação interna. Material TPE de alta qualidade, seguro para o corpo. Funciona com pilhas (incluídas). Base larga para uso seguro. Cor: Rosa sensual.","pênis, vibratório, realístico, multi-velocidade, 19cm, TPE, preenchimento",Realista + Vibrador | 19cm | Multi-velocidade | Veias salientes | Base larga segura
8216-RX,Pênis Realístico c/ Vibrador à pilha - Roxo,Vibe Real - Pênis Vibratório Realístico (Roxo),Pênis Realísticos,Vibratório,1,"R$ 18,06","3,0x","R$ 54,18","R$ 36,12","66,7%",Pênis realístico com vibrador interno de múltiplas velocidades. Combina a sensação realista com a potência da vibração.,"O Vibe Real une o melhor dos dois mundos: a aparência e textura realista de um pênis com a potência de um vibrador. Com 19cm de comprimento e 4,3cm de diâmetro, oferece preenchimento satisfatório. O vibrador interno possui múltiplas velocidades controladas por botão giratório na base. Veias salientes e glande detalhada aumentam a estimulação interna. Material TPE de alta qualidade, seguro para o corpo. Funciona com pilhas (incluídas). Base larga para uso seguro. Cor: Roxo intenso.","pênis, vibratório, realístico, multi-velocidade, 19cm, TPE, preenchimento",Realista + Vibrador | 19cm | Multi-velocidade | Veias salientes | Base larga segura
9034,Pênis Realístico c/ Vibrador - Catoblepas - Baile,"Catoblepas XXL - Pênis Vibratório Premium 20,6cm",Pênis Realísticos,Vibratório Premium,1,"R$ 63,00","3,2x","R$ 201,60","R$ 138,60","68,8%","Pênis vibratório premium de 20,6cm com textura ultra realista. Motor potente com múltiplas velocidades para prazer intenso.","O Catoblepas XXL é a escolha de quem busca o máximo em prazer. Com impressionantes 20,6cm de comprimento e 4,4cm de diâmetro, oferece preenchimento profundo e satisfatório. O motor premium entrega vibrações potentes e silenciosas em múltiplas velocidades. Textura hiper-realista com veias pronunciadas, glande detalhada e escroto com textura de bolas. Material TPE de grau médico, extremamente macio e flexível. Controle de velocidade na base para ajuste instantâneo. Compatível com cintos de penetração. Embalagem premium. Cor: Pele bronzeada.","pênis, premium, XXL, 20.6cm, vibratório, potente, preenchimento profundo","20,6cm premium | Motor potente e silencioso | Textura hiper-realista | TPE médico"
7333,Pênis Realístico c/ Ventosa - Barbara Calvin - Baile,Barbara Power - Pênis c/ Ventosa Super Forte 21cm,Pênis Realísticos,Com Ventosa,1,"R$ 23,38","3,0x","R$ 70,14","R$ 46,76","66,7%",Pênis realístico com ventosa super forte de 21cm. Ideal para uso em qualquer superfície lisa com total liberdade de movimentos.,"O Barbara Power é sinônimo de liberdade. Com 21cm de comprimento e 4,2cm de diâmetro, oferece preenchimento generoso. A ventosa industrial fixa com força impressionante em box, azulejo, espelho, chão — qualquer superfície lisa. Experimente posições infinitas com as mãos completamente livres. Textura realista com veias e glande detalhada. Material TPE premium, macio e flexível. Base larga com anel para facilitar a remoção. Fácil limpeza com água morna e sabão. Cor: Pele natural clara.","pênis, ventosa, super forte, 21cm, mãos livres, posições, TPE",Ventosa industrial | 21cm | Mãos livres | Base com anel | Posições infinitas
7202-VM,Plug Anal Silicone - Tam. P - Vermelho + Pedra TR,Jewel Plug P - Plug Anal de Silicone c/ Pedra Vermelha,Plug Anal,Tamanho P (Iniciante),5,"R$ 7,30","2,8x","R$ 20,44","R$ 13,14","64,3%",Plug anal de silicone em tamanho P com pedra decorativa vermelha. Ideal para iniciantes na estimulação anal.,"O Jewel Plug P é o companheiro perfeito para quem está começando a explorar a estimulação anal. Em tamanho P (pequeno), oferece inserção suave e confortável. Feito 100% em silicone médico hipoalergênico, macio e flexível. A base em formato de pedra vermelha transparente não só é linda como garante segurança total — impede a inserção completa. Design cônico para facilitar a introdução. Anel de silicone na base para remoção fácil. Compatível com lubrificantes à base de água. Higienização simples com água e sabão. Discreto e elegante.","plug anal, iniciante, tamanho p, silicone, pedra decorativa, vermelho, seguro",Tamanho P ideal iniciantes | Silicone médico 100% | Pedra decorativa | Base segura
7204-RX,Plug Anal Silicone - Tam. G - Roxo + Pedra Dourada,Jewel Plug G - Plug Anal Premium c/ Pedra Dourada (Roxo),Plug Anal,Tamanho G (Avançado),2,"R$ 14,50","2,8x","R$ 40,60","R$ 26,10","64,3%",Plug anal de silicone tamanho G com pedra dourada decorativa. Para quem busca preenchimento intenso e visual luxuoso.,"O Jewel Plug G eleva a estimulação anal a outro patamar. Em tamanho G (grande), oferece preenchimento intenso e prazeroso para usuários experientes. Silicone médico premium, ultra macio e totalmente seguro para o corpo. A pedra dourada na base brilha como uma joia verdadeira — use como acessório erótico durante o sexo. Base larga e segura que impede inserção excessiva. Design cônico progressivo para inserção confortável mesmo no tamanho maior. Compatível com todos os lubrificantes à base de água. Higienização fácil. Cor: Roxo royal com pedra dourada.","plug anal, avançado, tamanho g, silicone, pedra dourada, luxo, preenchimento",Tamanho G preenchimento | Pedra dourada luxo | Silicone médico premium | Base segura
7204-PK,Plug Anal Silicone - Tam. G - Pink + Pedra Azul,Jewel Plug G - Plug Anal Premium c/ Pedra Azul (Pink),Plug Anal,Tamanho G (Avançado),2,"R$ 14,50","2,8x","R$ 40,60","R$ 26,10","64,3%",Plug anal de silicone tamanho G com pedra azul decorativa. Para quem busca preenchimento intenso e visual luxuoso.,"O Jewel Plug G eleva a estimulação anal a outro patamar. Em tamanho G (grande), oferece preenchimento intenso e prazeroso para usuários experientes. Silicone médico premium, ultra macio e totalmente seguro para o corpo. A pedra azul céu na base brilha como uma joia verdadeira — use como acessório erótico durante o sexo. Base larga e segura que impede inserção excessiva. Design cônico progressivo para inserção confortável mesmo no tamanho maior. Compatível com todos os lubrificantes à base de água. Higienização fácil. Cor: Pink vibrante com pedra azul.","plug anal, avançado, tamanho g, silicone, pedra azul, luxo, preenchimento",Tamanho G preenchimento | Pedra azul luxo | Silicone médico premium | Base segura
7204-PT,Plug Anal Silicone - Tam. G - Preta + Pedra Rosa,Jewel Plug G - Plug Anal Premium c/ Pedra Rosa (Preto),Plug Anal,Tamanho G (Avançado),1,"R$ 14,50","2,8x","R$ 40,60","R$ 26,10","64,3%",Plug anal de silicone tamanho G com pedora rosa decorativa. Visual sofisticado em preto com brilho rosa.,"O Jewel Plug G na versão preta é pura sofisticação. Em tamanho G (grande), oferece preenchimento intenso para usuários experientes. Silicone médico premium, macio e seguro. A pedra rosa na base cria um contraste deslumbrante com o corpo preto — elegância e prazer em um só produto. Base larga e segura. Design cônico progressivo. Compatível com lubrificantes à base de água. Higienização simples. Cor: Preto clássico com pedra rosa.","plug anal, avançado, tamanho g, silicone, pedra rosa, preto, sofisticado",Tamanho G preenchimento | Pedra rosa elegante | Silicone médico premium | Visual sofisticado
5279-DR,Vibrador Rotativo RECARREGÁVEL - 36 Níveis - Dourado,Royal Rotator - Vibrador Rotativo Recarregável 36 Níveis,Vibradores,Rotativo Premium,5,"R$ 46,69","3,8x","R$ 177,42","R$ 130,73","73,7%",Vibrador rotativo recarregável com 36 níveis de vibração e 8 modos de rotação. Luxo e tecnologia para prazer máximo.,"O Royal Rotator é a coroa da sua coleção. Este vibrador rotativo recarregável oferece 36 níveis de vibração combinados com 8 modos de rotação independentes — são 288 combinações possíveis de prazer. A haste rotativa realiza movimentos circulares internos enquanto o estimulador externo vibra, criando uma sinfonia de sensações. Motor duplo de alta performance, silencioso mesmo nos níveis mais altos. Silicone de grau médico com acabamento dourado luxuoso. Recarregável via USB com autonomia de até 3 horas. Display LED que mostra o modo ativo. À prova d'água. Embalagem premium com estojo de veludo. Cor: Dourado royal.","rotativo, recarregável, 36 níveis, 8 rotações, premium, luxo, dourado",36 níveis + 8 rotações | 288 combinações | Motor duplo silencioso | Display LED | 3h autonomia
